latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.84651,100.77008,312.43,3.49,1.76,2023-02-23,0414,Terra,MODIS,36,6.1NRT,297.59,37.45,D
17.85743,100.77818,312.2,3.49,1.76,2023-02-23,0414,Terra,MODIS,44,6.1NRT,297.3,36.24,D
14.59309,99.85242,317.51,3.47,1.75,2023-02-23,0414,Terra,MODIS,71,6.1NRT,302.36,31.42,D
14.93536,99.23606,313.27,3.06,1.66,2023-02-23,0414,Terra,MODIS,57,6.1NRT,299.5,36.2,D
15.59262,99.92408,324.44,3.35,1.73,2023-02-23,0414,Terra,MODIS,78,6.1NRT,299.35,85.56,D
15.58989,99.92841,322.88,3.35,1.73,2023-02-23,0414,Terra,MODIS,76,6.1NRT,298.99,75.28,D
14.65057,102.00386,324.06,1.27,1.12,2023-02-23,0635,Aqua,MODIS,69,6.1NRT,305.55,12.83,D
14.64875,101.99226,320.52,1.28,1.12,2023-02-23,0635,Aqua,MODIS,56,6.1NRT,305.08,7.79,D
14.62087,101.16699,321.02,1.44,1.19,2023-02-23,0635,Aqua,MODIS,55,6.1NRT,307.51,14,D
13.91133,99.32301,326.57,2.02,1.38,2023-02-23,0635,Aqua,MODIS,77,6.1NRT,306.79,31.25,D
14.19538,101.15484,318.76,1.46,1.2,2023-02-23,0635,Aqua,MODIS,55,6.1NRT,304.73,8.45,D
13.84007,99.20538,325.16,2.07,1.4,2023-02-23,0635,Aqua,MODIS,72,6.1NRT,302.02,39.23,D
13.82237,99.12043,319.38,2.1,1.41,2023-02-23,0635,Aqua,MODIS,35,6.1NRT,301.09,29.26,D
13.7759,99.2233,322.29,2.07,1.4,2023-02-23,0635,Aqua,MODIS,66,6.1NRT,302.45,35.47,D
13.77904,99.24141,315.6,2.06,1.4,2023-02-23,0635,Aqua,MODIS,43,6.1NRT,303.03,16.87,D
14.73145,105.48919,321.66,1,1,2023-02-23,0635,Aqua,MODIS,64,6.1NRT,306.01,9.08,D
14.7186,105.46305,324.13,1,1,2023-02-23,0635,Aqua,MODIS,64,6.1NRT,307.97,10.15,D
13.70344,99.18657,317.23,2.09,1.41,2023-02-23,0635,Aqua,MODIS,58,6.1NRT,299.84,29.3,D
14.13312,102.67865,328.79,1.19,1.08,2023-02-23,0635,Aqua,MODIS,62,6.1NRT,304.09,23.93,D
