latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
13.11752,102.35163,342.44,0.54,0.42,2023-02-23,0609,N,VIIRS,n,2.0NRT,299.82,6.07,D
12.48073,99.82182,340.26,0.53,0.5,2023-02-23,0609,N,VIIRS,n,2.0NRT,299.41,7.31,D
12.18348,102.43058,331.06,0.55,0.43,2023-02-23,0609,N,VIIRS,n,2.0NRT,300.27,4.2,D
9.35313,99.04775,332.31,0.34,0.56,2023-02-23,0609,N,VIIRS,n,2.0NRT,297.09,3.4,D
9.26033,98.9774,340.75,0.34,0.56,2023-02-23,0609,N,VIIRS,n,2.0NRT,296.8,5.82,D
9.2609,98.98051,367,0.34,0.56,2023-02-23,0609,N,VIIRS,h,2.0NRT,298.1,5.82,D
9.26034,98.9791,367,0.35,0.56,2023-02-23,0609,N,VIIRS,h,2.0NRT,298.89,11.72,D
8.70071,98.71571,330.26,0.37,0.58,2023-02-23,0609,N,VIIRS,n,2.0NRT,292.05,2.92,D
18.27828,100.89249,331,0.55,0.43,2023-02-23,0612,N,VIIRS,l,2.0NRT,303.85,4.73,D
18.31966,100.96552,330.88,0.55,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.54,6.45,D
18.22841,100.46159,338.39,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,293.41,3.87,D
18.21941,100.38963,342.04,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.82,4.14,D
18.22278,100.38522,337.57,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.62,5.18,D
18.23297,100.09334,331.53,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,297.7,4.13,D
18.05908,98.97267,338.13,0.48,0.48,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.48,3.79,D
18.06933,98.73518,330.56,0.5,0.49,2023-02-23,0612,N,VIIRS,l,2.0NRT,300.7,4.02,D
18.07777,98.70579,334.59,0.5,0.49,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.21,3.17,D
18.42896,100.4816,346.56,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.48,3.99,D
18.49107,100.36748,340.49,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.33,4.81,D
18.56589,100.69621,333,0.56,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.65,5.13,D
18.57793,100.81027,337.94,0.55,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.48,3.62,D
18.56475,100.69398,333.91,0.56,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.58,3.79,D
18.66584,101.16345,332.83,0.53,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,296.61,3.19,D
18.49256,100.14392,331.4,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.56,2.89,D
18.49187,100.14019,331.16,0.4,0.44,2023-02-23,0612,N,VIIRS,l,2.0NRT,301.54,2.88,D
18.66577,101.07464,343.53,0.53,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.83,5.17,D
18.5176,100.11961,331.69,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.76,1.61,D
18.77553,101.08167,335.61,0.53,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,296.42,6.36,D
18.37121,98.85166,350.75,0.49,0.48,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.58,8.94,D
18.73967,100.43909,340.68,0.38,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.99,6.39,D
18.76238,100.20049,338.49,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.21,3.62,D
18.76705,100.20316,338.15,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.22,2.34,D
18.39634,98.09435,339.62,0.54,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.24,6.47,D
18.39413,98.09657,329.35,0.54,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,297.7,4.67,D
18.82427,100.28741,332.33,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.46,3.86,D
18.82358,100.28368,355,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.58,4.97,D
18.82289,100.27997,342.13,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.39,4.97,D
18.82758,100.28284,343.82,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.88,4.97,D
18.9412,100.88203,345.36,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.22,6.57,D
18.9451,100.88145,336.71,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.15,6.57,D
18.85153,100.2094,336.5,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.59,2.89,D
19.01596,100.2635,331.5,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.82,1.41,D
19.12622,100.41164,344.27,0.57,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.92,8.28,D
18.10365,100.79135,331.47,0.56,0.43,2023-02-23,0612,N,VIIRS,l,2.0NRT,303.26,5.67,D
17.98355,99.9846,343.42,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.58,4.42,D
18.09764,99.9669,336.91,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.13,4.25,D
18.09689,99.96274,334.05,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.45,3.22,D
18.28715,100.98576,341.99,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.9,7.04,D
18.0946,99.96768,335.21,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.77,4.35,D
18.0938,99.96342,336.82,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.52,4.15,D
18.28671,100.98309,343.37,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.44,8.5,D
17.63594,98.88554,331.65,0.5,0.49,2023-02-23,0612,N,VIIRS,n,2.0NRT,293.86,3.16,D
