latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.671395,101.887108,332.46,0.39,0.44,2021-02-01,0606,N,VIIRS,n,1,298.77,2.32,D,0
12.551183,99.953346,341.38,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,299.21,5.55,D,0
13.058507,101.983757,348.89,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,302.49,7.46,D,0
13.100158,101.024445,334.99,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,291.94,3.08,D,0
13.191381,101.351143,344.95,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,303.14,4.08,D,0
13.140117,100.980186,330.59,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,293.23,2.72,D,0
13.166575,101.030083,332.73,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,293.82,1.96,D,0
13.13173,99.859131,330.79,0.51,0.49,2021-02-01,0606,N,VIIRS,n,1,300.85,2.85,D,0
13.717799,102.267014,335.15,0.53,0.42,2021-02-01,0606,N,VIIRS,n,1,302.75,2.24,D,0
13.789741,102.66288,342.66,0.51,0.41,2021-02-01,0606,N,VIIRS,n,1,303.02,5.04,D,0
14.251654,105.022217,346.81,0.4,0.37,2021-02-01,0606,N,VIIRS,n,1,303.25,16.98,D,0
13.800151,101.929008,342.73,0.56,0.43,2021-02-01,0606,N,VIIRS,n,1,303.61,5.38,D,0
13.804069,101.928307,334.49,0.56,0.43,2021-02-01,0606,N,VIIRS,n,1,303.97,4.75,D,0
14.313435,104.989204,333.45,0.4,0.37,2021-02-01,0606,N,VIIRS,n,1,300.56,4.26,D,0
13.81825,101.71508,343.91,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,303.1,6.2,D,0
13.482939,99.614807,330.71,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,300.6,4.65,D,0
13.489755,99.548523,341.43,0.53,0.5,2021-02-01,0606,N,VIIRS,n,1,300.82,6.18,D,0
13.959685,101.898262,341.89,0.56,0.43,2021-02-01,0606,N,VIIRS,n,1,302.16,6.79,D,0
13.951867,101.852005,343.82,0.56,0.43,2021-02-01,0606,N,VIIRS,n,1,305.11,7.47,D,0
13.95993,101.900711,337.38,0.55,0.43,2021-02-01,0606,N,VIIRS,n,1,302.72,5.49,D,0
13.951806,101.854584,337.19,0.56,0.43,2021-02-01,0606,N,VIIRS,n,1,303.9,3.87,D,0
13.9509,101.849442,332.17,0.56,0.43,2021-02-01,0606,N,VIIRS,l,1,305.02,3.87,D,0
13.97627,101.621017,350.83,0.38,0.43,2021-02-01,0606,N,VIIRS,n,1,305.96,11.65,D,0
13.598538,99.444115,342.93,0.53,0.5,2021-02-01,0606,N,VIIRS,n,1,301.61,8.37,D,0
13.603201,99.443481,344.65,0.53,0.5,2021-02-01,0606,N,VIIRS,n,1,298.42,8.37,D,0
14.46602,104.320763,346.93,0.42,0.38,2021-02-01,0606,N,VIIRS,n,1,303.58,6.55,D,0
14.469457,104.320122,346.83,0.42,0.38,2021-02-01,0606,N,VIIRS,n,1,300.97,7.16,D,0
14.563642,104.715698,333.24,0.41,0.37,2021-02-01,0606,N,VIIRS,n,1,302.3,1.72,D,0
14.112372,101.875809,340.48,0.55,0.43,2021-02-01,0606,N,VIIRS,n,1,303.34,8.39,D,0
14.320524,102.87339,333.64,0.49,0.4,2021-02-01,0606,N,VIIRS,n,1,301.04,3.77,D,0
14.05551,101.145882,338.61,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,304.27,7.06,D,0
13.835622,99.710762,330.28,0.51,0.49,2021-02-01,0606,N,VIIRS,l,1,300.42,4.32,D,0
14.110473,101.19397,337.64,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,304.21,4.65,D,0
14.133122,101.25132,339.59,0.4,0.44,2021-02-01,0606,N,VIIRS,n,1,307.02,2.56,D,0
13.774302,99.220238,341.12,0.55,0.51,2021-02-01,0606,N,VIIRS,n,1,298.6,5.84,D,0
14.129087,101.155746,342.54,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,303.39,12.13,D,0
14.128431,101.151978,341.12,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,301.94,8.32,D,0
14.421431,102.689049,330.64,0.5,0.41,2021-02-01,0606,N,VIIRS,l,1,303.76,2.79,D,0
13.828334,99.165054,341.11,0.55,0.51,2021-02-01,0606,N,VIIRS,n,1,301.04,23.28,D,0
13.832999,99.164062,350.93,0.55,0.51,2021-02-01,0606,N,VIIRS,n,1,300.26,12.86,D,0
14.971538,105.105156,336.72,0.4,0.37,2021-02-01,0606,N,VIIRS,n,1,302.47,2.55,D,0
14.264279,100.740959,333.56,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,299.5,2.32,D,0
15.069639,105.447807,347.77,0.39,0.36,2021-02-01,0606,N,VIIRS,n,1,308.35,8.38,D,0
14.124658,99.727081,332.14,0.5,0.49,2021-02-01,0606,N,VIIRS,l,1,303.1,4.1,D,0
15.004434,104.913734,349.26,0.4,0.37,2021-02-01,0606,N,VIIRS,n,1,306.43,5.11,D,0
15.008393,104.916878,343.18,0.4,0.37,2021-02-01,0606,N,VIIRS,n,1,305.36,3.26,D,0
15.007802,104.913177,348.03,0.4,0.37,2021-02-01,0606,N,VIIRS,n,1,305.23,3.71,D,0
14.963959,104.574646,335.95,0.41,0.37,2021-02-01,0606,N,VIIRS,n,1,305.69,1.94,D,0
14.630036,102.228157,336.83,0.52,0.42,2021-02-01,0606,N,VIIRS,n,1,303.11,3.33,D,0
14.555174,101.55349,331.26,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,299.67,1.74,D,0
14.96776,103.974251,331.1,0.43,0.38,2021-02-01,0606,N,VIIRS,n,1,302.6,2.68,D,0
14.160379,99.152344,340.1,0.55,0.51,2021-02-01,0606,N,VIIRS,n,1,298.73,14.42,D,0
14.560273,101.072906,338.9,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,301.32,3.99,D,0
14.744275,101.86235,335.73,0.54,0.42,2021-02-01,0606,N,VIIRS,n,1,305.47,16.78,D,0
14.612553,101.114433,336.61,0.4,0.44,2021-02-01,0606,N,VIIRS,n,1,302.01,3.64,D,0
14.989767,103.146286,333.78,0.46,0.39,2021-02-01,0606,N,VIIRS,l,1,305.82,1.52,D,0
14.619641,100.963989,342.5,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,305.15,5.69,D,0
14.790312,101.920967,337.2,0.54,0.42,2021-02-01,0606,N,VIIRS,n,1,303.74,6.59,D,0
14.6043,100.706772,341.87,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,305.05,4.18,D,0
14.537718,100.329308,330.46,0.45,0.47,2021-02-01,0606,N,VIIRS,l,1,304.48,3.62,D,0
14.852489,102.006706,340.94,0.53,0.42,2021-02-01,0606,N,VIIRS,n,1,304.19,3.56,D,0
15.433762,105.53096,340.21,0.39,0.36,2021-02-01,0606,N,VIIRS,n,1,305.96,3.24,D,0
14.85393,102.004326,330.74,0.53,0.42,2021-02-01,0606,N,VIIRS,l,1,302.59,1.99,D,0
14.493675,99.907532,336.81,0.48,0.48,2021-02-01,0606,N,VIIRS,n,1,298.52,4.1,D,0
14.643393,100.655685,337.57,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,300.16,2.84,D,0
14.619569,100.523567,336.89,0.44,0.46,2021-02-01,0606,N,VIIRS,n,1,301.4,2.24,D,0
14.632376,100.546234,339.13,0.44,0.46,2021-02-01,0606,N,VIIRS,n,1,301.98,3.97,D,0
15.331616,104.446587,337.18,0.41,0.37,2021-02-01,0606,N,VIIRS,n,1,306.7,5.35,D,0
15.528449,105.526436,334.09,0.39,0.36,2021-02-01,0606,N,VIIRS,n,1,304.41,2.88,D,0
14.830485,101.237022,330.04,0.39,0.44,2021-02-01,0606,N,VIIRS,l,1,302.01,2.69,D,0
15.572348,105.55175,337.41,0.39,0.36,2021-02-01,0606,N,VIIRS,n,1,305.41,2.89,D,0
14.799664,100.900146,348.51,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,304.46,6.01,D,0
14.889804,101.338387,332.18,0.39,0.44,2021-02-01,0606,N,VIIRS,l,1,303.01,1.91,D,0
14.53872,99.365356,350.76,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,301.06,14.57,D,0
14.908792,100.973175,344.87,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,305.65,4.78,D,0
14.909636,100.883217,367,0.41,0.45,2021-02-01,0606,N,VIIRS,h,1,308.65,11.45,D,0
15.540876,104.465279,334.71,0.41,0.37,2021-02-01,0606,N,VIIRS,n,1,302.86,2.63,D,0
15.402997,103.545395,339.75,0.44,0.38,2021-02-01,0606,N,VIIRS,n,1,301.07,3.01,D,0
14.969953,100.864494,333.42,0.41,0.45,2021-02-01,0606,N,VIIRS,n,1,303.39,0.97,D,0
14.7085,99.364708,334.93,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,300.83,3.19,D,0
15.520157,104.102242,331.04,0.42,0.38,2021-02-01,0606,N,VIIRS,l,1,305.24,2.7,D,0
14.708556,99.36628,332.96,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,301.34,4.55,D,0
14.920184,100.484337,342.64,0.43,0.46,2021-02-01,0606,N,VIIRS,n,1,303.86,3.65,D,0
14.710414,99.351097,342.04,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,301.5,8.26,D,0
14.709524,99.346375,338.71,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,300.51,5.52,D,0
15.46559,103.59761,334.68,0.44,0.38,2021-02-01,0606,N,VIIRS,n,1,298.29,1.84,D,0
14.714077,99.34549,336.04,0.52,0.5,2021-02-01,0606,N,VIIRS,n,1,299.62,3.82,D,0
14.892633,100.261032,337.45,0.45,0.47,2021-02-01,0606,N,VIIRS,n,1,301.3,5.09,D,0
15.180833,101.854324,335.17,0.54,0.42,2021-02-01,0606,N,VIIRS,n,1,302.61,2.73,D,0
15.485806,103.610779,338.35,0.44,0.38,2021-02-01,0606,N,VIIRS,n,1,301.72,6.1,D,0
14.986806,100.709541,338.82,0.42,0.45,2021-02-01,0606,N,VIIRS,n,1,304.37,5.37,D,0
15.538139,103.754852,340.93,0.43,0.38,2021-02-01,0606,N,VIIRS,n,1,302.16,5.76,D,0
15.445974,103.17054,335.85,0.46,0.39,2021-02-01,0606,N,VIIRS,n,1,304.94,3.74,D,0
15.267291,102.035728,337.8,0.52,0.42,2021-02-01,0606,N,VIIRS,n,1,302.21,5.24,D,0
15.173648,101.440819,337.78,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,301.35,3.81,D,0
15.176083,101.438782,346.99,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,300.88,7.31,D,0
15.529632,103.37265,348.72,0.45,0.39,2021-02-01,0606,N,VIIRS,n,1,301.31,6.31,D,0
15.197796,101.42334,333.19,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,301.39,3.62,D,0
15.119017,100.935089,339.54,0.4,0.45,2021-02-01,0606,N,VIIRS,n,1,302.94,3.33,D,0
14.936756,99.933006,339.41,0.47,0.48,2021-02-01,0606,N,VIIRS,n,1,302.58,3.42,D,0
15.083144,100.688126,330.48,0.42,0.45,2021-02-01,0606,N,VIIRS,l,1,303.62,2.78,D,0
15.082444,100.684235,337.19,0.42,0.45,2021-02-01,0606,N,VIIRS,n,1,303.66,2.52,D,0
15.077453,100.632652,347.18,0.42,0.45,2021-02-01,0606,N,VIIRS,n,1,305.8,6.52,D,0
15.081613,100.631882,351.06,0.42,0.45,2021-02-01,0606,N,VIIRS,n,1,304.64,6.52,D,0
15.623916,103.724564,338.36,0.43,0.38,2021-02-01,0606,N,VIIRS,n,1,304.51,7.26,D,0
15.272276,101.57045,347.62,0.55,0.43,2021-02-01,0606,N,VIIRS,n,1,304.56,10.37,D,0
15.350038,101.998756,336.84,0.52,0.42,2021-02-01,0606,N,VIIRS,n,1,303.46,5.62,D,0
15.011565,99.846588,333.78,0.48,0.48,2021-02-01,0606,N,VIIRS,n,1,302.3,2.76,D,0
15.015194,99.846733,344.39,0.48,0.48,2021-02-01,0606,N,VIIRS,n,1,303.91,7.28,D,0
15.285872,101.310539,341.76,0.57,0.43,2021-02-01,0606,N,VIIRS,n,1,303.72,4.26,D,0
15.272758,101.073799,347.54,0.4,0.44,2021-02-01,0606,N,VIIRS,n,1,304.44,10.15,D,0
15.954359,105.04789,335.52,0.39,0.36,2021-02-01,0606,N,VIIRS,n,1,305.98,2.11,D,0
15.589494,102.797173,333.39,0.47,0.4,2021-02-01,0606,N,VIIRS,l,1,304.81,2.81,D,0
