latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.46798,104.25851,328.96,0.76,0.77,2023-02-23,0520,1,VIIRS,n,2.0NRT,296.64,3.82,D
17.22837,104.12897,333.6,0.78,0.78,2023-02-23,0520,1,VIIRS,n,2.0NRT,294.83,7.53,D
15.79593,104.59035,338.35,0.78,0.78,2023-02-23,0520,1,VIIRS,n,2.0NRT,297.2,10.28,D
17.23041,104.12718,339.36,0.78,0.78,2023-02-23,0520,1,VIIRS,n,2.0NRT,295.09,7.37,D
15.79218,104.58485,339.19,0.78,0.78,2023-02-23,0520,1,VIIRS,n,2.0NRT,297.81,11.49,D
15.94139,99.33078,344.09,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,294.95,12.97,D
15.93721,99.33149,336.51,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,293.57,1.91,D
15.86509,98.80283,330.71,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,299.4,2.76,D
16.21139,101.6142,331.15,0.61,0.53,2023-02-23,0658,1,VIIRS,n,2.0NRT,298.95,6.25,D
16.21199,101.61931,336,0.61,0.53,2023-02-23,0658,1,VIIRS,n,2.0NRT,298.91,6.25,D
15.91871,99.25306,332.62,0.42,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,291.95,5.42,D
15.87879,99.00603,336.89,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,296.61,3.93,D
16.06626,100.51378,344.08,0.51,0.49,2023-02-23,0658,1,VIIRS,n,2.0NRT,310.07,20.46,D
16.05825,100.48569,342.34,0.51,0.49,2023-02-23,0658,1,VIIRS,n,2.0NRT,307.98,6.99,D
16.05882,100.49046,339.62,0.51,0.49,2023-02-23,0658,1,VIIRS,n,2.0NRT,307.69,6.99,D
15.84093,98.8072,353.54,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,297.75,14.09,D
15.90265,99.32803,340.04,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,297.84,7.19,D
16.18104,101.65381,341.18,0.61,0.54,2023-02-23,0658,1,VIIRS,n,2.0NRT,301.85,7.69,D
16.26575,102.40739,346.65,0.34,0.56,2023-02-23,0658,1,VIIRS,n,2.0NRT,302.12,4.9,D
15.84119,98.87399,333.35,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,298.76,3.16,D
15.84162,98.87739,338.32,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,297.86,2.74,D
15.9134,99.48324,340.25,0.44,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,307.36,6,D
16.03326,100.46951,341.92,0.51,0.49,2023-02-23,0658,1,VIIRS,n,2.0NRT,306,4.78,D
16.03438,100.51776,340.25,0.51,0.49,2023-02-23,0658,1,VIIRS,n,2.0NRT,307.42,1.98,D
15.8804,99.28619,336.56,0.42,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,293.9,2.82,D
15.88536,99.3262,354.17,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,300.81,28.18,D
15.88588,99.33036,331.27,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,298.58,11.62,D
15.90542,99.48837,340.29,0.44,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,306.88,5.83,D
15.82673,98.89057,340.1,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,300.55,3.36,D
15.8787,99.30678,330.01,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,295.08,1.68,D
15.88118,99.32685,346.94,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,300.67,28.18,D
15.88169,99.33096,344.16,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,302.17,11.62,D
15.93702,99.78208,345.63,0.46,0.47,2023-02-23,0658,1,VIIRS,n,2.0NRT,301.34,5.87,D
15.81723,98.84798,336.82,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,305.51,4.41,D
15.877,99.32748,347.13,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,299.12,12.19,D
15.98202,100.19278,330.05,0.49,0.48,2023-02-23,0658,1,VIIRS,n,2.0NRT,301.2,1.5,D
15.86045,99.29678,340.48,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,296.69,6.03,D
15.86091,99.30057,348.31,0.43,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,298.5,9.91,D
15.85893,99.29409,333.65,0.42,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,297.22,7.99,D
15.85943,99.29793,337.93,0.42,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,293.32,7.99,D
15.85992,99.30168,345.3,0.42,0.46,2023-02-23,0658,1,VIIRS,n,2.0NRT,298.21,11.62,D
