latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.082434,101.977676,334.8,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,293.19,2.76,D,0
13.311377,102.310448,334.21,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,295.32,6.67,D,0
13.406807,102.295433,332.9,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,294.2,2.04,D,0
13.797081,101.832718,330.04,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,292.6,2.01,D,0
14.287946,102.81073,330.2,0.39,0.37,2021-12-01,0630,N,VIIRS,n,1,294.45,3.22,D,0
14.085712,100.644112,341.75,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,289.79,6.61,D,0
14.103242,100.500191,328.22,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,293.27,1.71,D,0
14.046292,100.09523,335.11,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,290.88,1.65,D,0
14.334035,100.982689,335.36,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,289.75,2.16,D,0
14.232333,99.814171,328.59,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,293.56,2.46,D,0
14.631693,101.247963,336.82,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,292.93,2.11,D,0
14.775386,101.88488,329.39,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,294.4,1.54,D,0
14.853807,102.114281,348.36,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.97,4.09,D,0
14.857128,102.11377,334.24,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,296.64,4.09,D,0
15.035136,101.794342,347.58,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.74,5.64,D,0
15.366992,104.006393,332.65,0.44,0.38,2021-12-01,0630,N,VIIRS,n,1,295.38,3.33,D,0
15.385894,102.545006,330.1,0.39,0.37,2021-12-01,0630,N,VIIRS,n,1,292.72,2.03,D,0
15.189837,99.990082,335.12,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,294.33,2.16,D,0
15.927784,103.980774,337.08,0.44,0.38,2021-12-01,0630,N,VIIRS,n,1,293.34,7.03,D,0
15.927214,103.976654,340.81,0.44,0.38,2021-12-01,0630,N,VIIRS,n,1,295.75,6.76,D,0
15.59772,99.990005,328.51,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,285.35,1.5,D,0
