OBJECTID,FID_output_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,id,easting,northing,zone_number,zone_letter,Date,Date_Ordinal,Cluster,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
1,795,17.25965,98.9416,303.59,0.57,0.43,2023-03-01,1919,1,VIIRS,n,2.0NRT,293.16,1.24,N,795,493792.3375,1908280.12,47,Q,2023-03-01,738580,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
2,2733,17.26321,98.94473,314.94,0.59,0.7,2023-03-02,1953,N,VIIRS,n,2.0NRT,292.89,2.51,N,2733,494125.1555,1908673.857,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
3,1208,17.26342,98.9453,326.09,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,295.86,3.22,N,1208,494185.7494,1908697.072,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
4,2765,17.26482,98.94162,334.23,0.42,0.45,2023-03-03,701,N,VIIRS,l,2.0NRT,306.03,4.61,D,2765,493794.6363,1908852.066,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
5,1227,17.26501,98.94334,336.77,0.5,0.49,2023-03-03,609,1,VIIRS,n,2.0NRT,304.11,5.57,D,1227,493977.4659,1908873.031,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
6,1226,17.2661,98.94921,332.29,0.5,0.49,2023-03-03,609,1,VIIRS,l,2.0NRT,302.77,5.2,D,1226,494601.4348,1908993.441,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
7,1206,17.26616,98.94941,336.35,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,298.12,4.36,N,1206,494622.695,1909000.073,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
8,1205,17.26672,98.94585,343.45,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,297.42,4.36,N,1205,494244.3132,1909062.128,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
9,1228,17.26855,98.94603,336.47,0.5,0.49,2023-03-03,609,1,VIIRS,n,2.0NRT,302.6,5.73,D,1228,494263.5023,1909264.572,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
10,2732,17.26906,98.94872,309.78,0.59,0.7,2023-03-02,1953,N,VIIRS,n,2.0NRT,291.85,1.43,N,2732,494549.4388,1909320.914,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
11,3219,17.26929,98.93397,307.03,0.4,0.37,2023-03-05,1855,N,VIIRS,n,2.0NRT,293.7,1.24,N,3219,492981.6666,1909346.835,47,Q,2023-03-05,738584,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
12,1394,17.26933,98.95544,320.73,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,294.4,1.92,N,1394,495263.7159,1909350.606,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
13,2768,17.26935,98.94398,333.96,0.42,0.45,2023-03-03,701,N,VIIRS,n,2.0NRT,304.16,4.61,D,2768,494045.6325,1909353.136,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
14,2766,17.26979,98.94751,367,0.42,0.45,2023-03-03,701,N,VIIRS,h,2.0NRT,307.14,8.19,D,2766,494420.8496,1909401.707,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
15,3128,17.26996,98.93791,305.95,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,292.95,1.22,N,3128,493400.4735,1909420.816,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
16,2731,17.27012,98.94404,308.57,0.59,0.7,2023-03-02,1953,N,VIIRS,n,2.0NRT,291.85,1.43,N,2731,494052.0346,1909438.318,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
17,2767,17.27023,98.95101,338.42,0.42,0.45,2023-03-03,701,N,VIIRS,n,2.0NRT,305.88,8.19,D,2767,494792.8762,1909450.285,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
18,2939,17.27055,98.93957,333.01,0.39,0.36,2023-03-04,644,N,VIIRS,l,2.0NRT,305.93,3.15,D,2939,493576.9348,1909486.031,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
